Latin name,Common name,Order,Title,Authors,Year,Journal,Community response,Additional community repsonse,Justification for keystoneness,Detailed justification
Acanthaster cf. solaris,Crown-of-Thorns-seastar,"	Valvatida","Larval cloning in the crown-of-thorns sea star, a keystone coral predator",Allen et al.,2019,Marine Ecology Progress Series,Abundance,Biodiversity,Post-hoc,Determined from literature assessment
Alligator mississippiensis,American Alligator,"	Crocodilia",Effect of Red Imported Fire Ant Envenomization on Neonatal American Alligators,Allen et al.,1999,Journal of Herpetology,Physical Effects,No secondary response,Post-hoc,Determined from literature assessment
Alosa pseudoharengus,Alewife,Clupeiformes,INTRASPECIFIC VARIATION IN A PREDATOR AFFECTS COMMUNITY STRUCTURE AND CASCADING TROPHIC INTERACTIONS,Post et al.,2008,Ecology,Life history,No secondary response,Post-hoc,Determined from literature assessment
Alpheus japonicus,Japanese Snapping Shrimp,"	Decapoda","Using network analysis to identify keystone species in the food web of Haizhou Bay, China",Wu et al.,2019,Marine and Freshwater Research,Abundance,No secondary response,Primary,network
Ambystoma talpoideum,Mole Salamander,Urodela,Identifying potential keystone species from field data – an example from temporary ponds,Fauth,2002,Ecology Letters,Biodiversity,No secondary response,Primary,Empirical observation or experiment
Ammodytes tobianus,Lesser Sand Eel,"	Trachiniformes","Seabird-fishery interactions: quantifying the sensitivity of seabirds to reductions in sandeel abundance, and identification of key areas for sensitive seabirds in the North Sea",Furness and Tasker,2000,Marine Ecology,Life history,No secondary response,Primary,Empirical observation or experiment
Ammodytidae,Sand Lace,"	Trachiniformes",Report on identification of keystone species and processes across regional seas,Frederiksen et al.,2006,Journal of Animal Ecology,Life history,No secondary response,Post-hoc,Determined from literature assessment
Anax junius,Common Green Darner,"	Odonata",Ontogenetic functional diversity: Size structure of a keystone predator drives functioning of a complex ecosystem,Rudolf and Rasmussen,2013,Ecology,Abundance,No secondary response,Primary,Empirical observation or experiment
Anser caerulescens,Snow goose,"	Anseriformes",Destruction of Wetland Habitats by Lesser Snow Geese: A Keystone Species on the West Coast of Hudson Bay,Kerbes et al. ,1990,Journal of Applied Ecology,Biodiversity,No secondary response,Primary,Empirical observation or experiment
Aphaenogaster rudis,Funnel Ant,Hymenoptera,Forest invader replaces predation but not dispersal services by a keystone species,Warren et al.,2015,Biological Invasions,Abundance,No secondary response,Primary,Empirical observation or experiment
Apis mellifera,Western Honey Bee,"	Hymenoptera",Plant survival and keystone pollinator species in stochastic coextinction models: role of intrinsic dependence on animal-pollination,Traveset et al.,2017,Scientific Reports,Life history,No secondary response,Primary,network
Arbacia lixula,Black Sea Urchin,"	Arbacioida",Enjoying the warming Mediterranean: Transcriptomic responses to temperature changes of a thermophilous keystone species in benthic communities,Pérez-Portela et al.,2020,Molecular Ecology,Abundance,No secondary response,Post-hoc,Determined from literature assessment
Arenicola marina,Lugworm,Patellogastropoda,Ecosystem engineering in intertidal sand by the lugworm Arenicola marina,Volkenborn,2006,"PhD Thesis, University of Bremen",Chemical and Energy Cycling,No secondary response,Post-hoc,Determined from literature assessment
Astacus astacus,Noble Crayfish,Decapoda,Native and alien crayfish species: do their trophic roles differ?,Weinländer and Füreder,2016,Freshwater Science,Chemical and Energy Cycling,No secondary response,Primary,Empirical observation or experiment
Asterias rubens,Common Starfish,Forcipulatida,The stars are out: Predicting the effect of seawater freshening on the ecological impact of a sea star keystone predator,Dickey et al. ,2021,Ecological Indicators,Abundance,No secondary response,Post-hoc,Determined from literature assessment
Austropotamobius torrentium,Stone Crayfish,Decapoda,Native and alien crayfish species: do their trophic roles differ?,Weinländer and Füreder,2016,Freshwater Science,Chemical and Energy Cycling,No secondary response,Primary,Empirical observation or experiment
Azteca sericeasur,Arboreal Nesting Ants,Hymenoptera,A Keystone Ant Species Provides Robust Biological Control of the Coffee Berry Borer Under Varying Pest Densities,Morris et al.,2015,PLOS ONE,Abundance,Biodiversity,Post-hoc,Determined from literature assessment
